AtomicNumber,Element,Mass,row,col
1,H,1.0079,1,1
2,He,4.0026,1,18
3,Li,6.941,2,1
4,Be,9.01218,2,2
5,B,10.81,2,13
6,C,12.011,2,14
7,N,14.0067,2,15
8,O,15.9994,2,16
9,F,18.9984,2,17
10,Ne,20.179,2,18
11,Na,22.98977,3,1
12,Mg,24.305,3,2
13,Al,26.98154,3,13
14,Si,28.086,3,14
15,P,30.97376,3,15
16,S,32.07,3,16
17,Cl,35.453,3,17
18,Ar,39.948,3,18
19,K,39.098,4,1
20,Ca,40.08,4,2
21,Sc,44.9559,4,3
22,Ti,47.87,4,4
23,V,50.9414,4,5
24,Cr,51.996,4,6
25,Mn,54.938,4,7
26,Fe,55.847,4,8
27,Co,58.9332,4,9
28,Ni,58.69,4,10
29,Cu,63.546,4,11
30,Zn,65.38,4,12
31,Ga,69.72,4,13
32,Ge,72.61,4,14
33,As,74.9216,4,15
34,Se,78.96,4,16
35,Br,79.904,4,17
36,Kr,83.8,4,18
37,Rb,85.4678,5,1
38,Sr,87.62,5,2
39,Y,88.9059,5,3
40,Zr,91.22,5,4
41,Nb,92.9064,5,5
42,Mo,95.94,5,6
43,Tc,98.91,5,7
44,Ru,101.07,5,8
45,Rh,102.9055,5,9
46,Pd,106.4,5,10
47,Ag,107.868,5,11
48,Cd,112.4,5,12
49,In,114.82,5,13
50,Sn,118.69,5,14
51,Sb,121.75,5,15
52,Te,127.6,5,16
53,I,126.9054,5,17
54,Xe,131.3,5,18
55,Cs,132.9054,6,1
56,Ba,137.34,6,2
57,La,138.9055,8,3
58,Ce,140.12,8,4
59,Pr,140.9077,8,5
60,Nd,144.24,8,6
61,Pm,144.9,8,7
62,Sm,150.4,8,8
63,Eu,151.96,8,9
64,Gd,157.25,8,10
65,Tb,158.9254,8,11
66,Dy,162.5,8,12
67,Ho,164.9304,8,13
68,Er,167.26,8,14
69,Tm,168.9342,8,15
70,Yb,173.04,8,16
71,Lu,174.97,6,3
72,Hf,178.49,6,4
73,Ta,180.9479,6,5
74,W,183.85,6,6
75,Re,186.2,6,7
76,Os,190.2,6,8
77,Ir,192.22,6,9
78,Pt,195.09,6,10
79,Au,196.9665,6,11
80,Hg,200.59,6,12
81,Tl,204.37,6,13
82,Pb,207.2,6,14
83,Bi,208.9804,6,15
84,Po,210.0,6,16
85,At,210.001,6,17
86,Rn,222.0,6,18
87,Fr,223.0,7,1
88,Ra,226.0,7,2
89,Ac,227.0,9,3
90,Th,232.0381,9,4
91,Pa,231.0,9,5
92,U,238.029,9,6
93,Np,237.0,9,7
94,Pu,239.1,9,8
95,Am,241.1,9,9
96,Cm,244.1,9,10
97,Bk,249.1,9,11
98,Cf,252.09,9,12
99,Es,252.1,9,13
100,Fm,257.1,9,14
101,Md,258.1,9,15
102,No,259.1,9,16
103,Lr,262.1,7,3
